# [Mshock**0.5 * Rshock**-1.5 * p *rho**-2.5],frequency [Hz]
3.0104094257914562e-05,484.4643132653232
3.119045704913601e-05,482.68246213687036
3.009446378491213e-05,480.2920036683795
1.6744452455107547e-05,729.0948468911748
1.740416349020227e-05,730.3794146367624
1.7457253628153997e-05,729.6077366039435
1.8142454812182548e-05,730.8505580810312
1.819099508608227e-05,729.2352090568356
1.9756177349561945e-05,716.8102846453729
1.9794864312234817e-05,714.8117689892098
2.0551292579930735e-05,712.9277709966742
2.0588163460563377e-05,710.7630190219945
2.0619411309525654e-05,708.4437521026732
2.1397104027351754e-05,706.1782875568875
2.1425862242855334e-05,703.8412148007214
2.1452746329562794e-05,701.3706193283466
2.147594907809502e-05,698.8262521977748
2.3170358785912835e-05,686.0862629637895
2.3187781251224094e-05,683.4243525448185
2.3203213357535945e-05,680.8122667042887
2.321598924765917e-05,678.1733664217269
2.4071306857471135e-05,675.5613907016251
2.4084703827369133e-05,673.0170409164534
2.4096190065976752e-05,670.4055182453372
2.4108046616573015e-05,667.7582791521272
2.492318434960867e-05,649.2248573698666
2.491055595515827e-05,646.60308612443
2.4901967385880458e-05,644.0111950740278
2.489309524179032e-05,641.438377908767
2.4880477942720982e-05,638.8604881232473
2.4865637148416214e-05,636.2935796486225
2.485241963652648e-05,633.7110736487923
2.5743403329305352e-05,631.2346051726008
2.5733188267476034e-05,628.8268424240392
2.5720338785541048e-05,626.3407683980688
2.571006088673517e-05,623.8737247286327
2.569837230311537e-05,621.4308655690255
2.661715172296859e-05,618.9914702385415
2.6602391799843885e-05,616.6357480475973
2.6586853049146867e-05,614.2040045718837
2.75369105384792e-05,611.7868269484625
2.7524174364430466e-05,609.4406818683028
2.7512964363628507e-05,607.0915735364957
2.7502434355603536e-05,604.6769752554006
2.7491588477199233e-05,602.2817688631211
2.847834666631388e-05,599.8800886520303
2.846493972433162e-05,597.6418006556631
2.8452072702776445e-05,595.1943201241522
2.8439560709228708e-05,592.8384784412118
2.8428866248564968e-05,590.4655562411992
2.9450653925918963e-05,588.1200886717436
2.9441023284875958e-05,585.7731178293772
2.9432276645126145e-05,583.4024409922906
