time,x [Mshock**0.5 * Rshock**-1.5 * p *rho**-2.5]
1.042,1.6733497639114792e-05
1.043,1.6733747676459774e-05
1.044,1.6149938255611965e-05
1.045,1.7970167458601902e-05
1.046,1.734234494582316e-05
1.047,1.734434509050233e-05
1.048,1.7973052326675872e-05
1.049,1.8628703283924517e-05
1.05,1.862605632935666e-05
1.051,1.7979940899062996e-05
1.052,1.9308425499795417e-05
1.053,1.7979661223421986e-05
1.054,1.93091970823359e-05
1.055,1.863420100739208e-05
1.056,1.930811136913179e-05
1.057,1.8636369910666272e-05
1.058,1.863686321225843e-05
1.059,1.8637867631440897e-05
1.06,1.7986216224558627e-05
1.061,1.931557345251264e-05
1.062,1.864286074512682e-05
1.063,1.9319454122858495e-05
1.064,1.8645084353720327e-05
1.065,1.9317856102051603e-05
1.066,1.9324459988494015e-05
1.067,2.002107291869611e-05
1.068,2.0026816160472106e-05
1.069,1.9326064341147696e-05
1.07,2.0026971471098147e-05
1.071,1.9326806945270347e-05
1.072,2.0028360250550628e-05
1.073,2.002917003793295e-05
1.074,2.0755434444189557e-05
1.075,2.0029588138751704e-05
1.076,2.1509460826824332e-05
1.077,2.0757272991197276e-05
1.078,2.1509558060408245e-05
1.079,2.0030496622423235e-05
1.08,2.151010096723672e-05
1.081,2.003200904401415e-05
1.082,2.075780526642079e-05
1.083,2.0033503525234562e-05
1.084,2.0759893286325886e-05
1.085,2.0035451042781053e-05
1.086,2.0764078865132046e-05
1.087,2.151806844844246e-05
1.088,2.1519187707993797e-05
1.089,2.1520787761539723e-05
1.09,2.0767419573041217e-05
1.091,2.0041388103894813e-05
1.092,2.0770624896382682e-05
1.093,2.152524561938635e-05
1.094,2.0044287237131266e-05
1.095,2.077088539751977e-05
1.096,2.0775964078760624e-05
1.097,2.231174854031497e-05
1.098,2.0047367141050417e-05
1.099,2.3123334531990446e-05
1.1,2.0053350369032502e-05
1.101,2.153292116901837e-05
1.102,1.9354625944092265e-05
1.103,2.0786957983262562e-05
1.104,2.07899286844759e-05
1.105,2.0060182512561387e-05
1.106,2.0062806169925387e-05
1.107,2.0064117133560948e-05
1.108,1.936371771000976e-05
1.109,2.006913202289883e-05
1.11,2.155342599457229e-05
1.111,2.080115656263111e-05
1.112,2.0801688346008204e-05
1.113,2.080450923423145e-05
1.114,2.315283660121346e-05
1.115,2.156275121933519e-05
1.116,2.156320125731913e-05
1.117,2.2347824197667846e-05
1.118,2.2346406090675683e-05
1.119,2.2352042002425876e-05
1.12,2.3166206731351098e-05
1.121,2.2352537982028153e-05
1.122,2.317033893126706e-05
1.123,2.317135802075631e-05
1.124,2.3173503831766096e-05
1.125,2.401570451212722e-05
1.126,2.401731924166733e-05
1.127,2.4019214718914667e-05
1.128,2.402094788395059e-05
1.129,2.489423905071454e-05
1.13,2.3178565079868193e-05
1.131,2.48959375531247e-05
1.132,2.4028188897197998e-05
1.133,2.4895133823037224e-05
1.134,2.4900793536582604e-05
1.135,2.4897648614981978e-05
1.136,2.4906344738037526e-05
1.137,2.3193117443171012e-05
1.138,2.319629853186829e-05
1.139,2.3194335741777304e-05
1.14,2.32005373069077e-05
1.141,2.239126148307225e-05
1.142,2.3205532516744133e-05
